ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Joe Arlauckas,1988,1988,F,206,104,1965,ne,ne
B.J. Armstrong,1990,2000,G,188,79,1967,ne,ne
Bob Armstrong,1957,1957,C-F,203,100,1933,ne,ne
Brandon Armstrong,2002,2004,G,196,85,1980,ne,ne
Curly Armstrong,1949,1951,G-F,180,77,1918,ne,ne
Darrell Armstrong,1995,2008,G,183,77,1968,ne,ne
Hilton Armstrong,2007,2014,F-C,211,107,1984,ne,ne
Tate Armstrong,1978,1979,G,190,79,1955,ne,ne
Jesse Arnelle,1956,1956,F,196,100,1933,ne,ne
Jay Arnette,1964,1966,G,188,79,1938,ne,ne
Bob Arnzen,1970,1974,F,196,93,1947,ne,ne
Carlos Arroyo,2002,2011,G,188,92,1979,ne,ne
Darrell Arthur,2009,2018,F,206,107,1988,ne,ne
John Arthurs,1970,1970,G,193,84,1947,ne,ne
Jamel Artis,2018,2018,G-F,201,97,1993,ne,ne
Ömer Aşık,2011,2018,C,213,116,1986,ne,ne
Vincent Askew,1988,1998,G-F,198,95,1966,ne,ne
Keith Askins,1991,1999,G-F,201,89,1967,ne,ne
Don Asmonga,1954,1954,G,188,84,1928,ne,ne
Dick Atha,1956,1958,G,188,86,1931,ne,ne
Chucky Atkins,2000,2010,G,180,73,1974,ne,ne
Al Attles,1961,1971,G,183,79,1936,da,ne
Chet Aubuchon,1947,1947,G,178,62,1916,ne,ne
Stacey Augmon,1992,2006,F-G,203,93,1968,ne,ne
D.J. Augustin,2009,2022,G,180,83,1987,ne,ne
James Augustine,2007,2008,F,208,107,1984,ne,ne
Isaac Austin,1992,2002,C,208,116,1969,ne,ne
Johnny Austin,1967,1968,G,183,77,1944,ne,ne
Ken Austin,1984,1984,F,206,93,1961,ne,ne
Deni Avdija,2021,2023,G-F,206,95,2001,ne,da
Anthony Avent,1993,2000,F,206,107,1969,ne,ne
Bird Averitt,1974,1978,G,185,77,1952,ne,ne
William Avery,2000,2002,G,188,89,1979,ne,ne
Dennis Awtrey,1971,1982,C,208,107,1948,ne,ne
Joel Ayayi,2022,2022,G,196,82,2000,ne,da
Gustavo Ayón,2012,2014,C,208,114,1985,ne,ne
Jeff Ayres,2010,2016,F,206,109,1987,ne,ne
Deandre Ayton,2019,2023,C,211,114,1998,ne,da
Kelenna Azubuike,2007,2012,G,196,100,1983,ne,ne
Udoka Azubuike,2021,2023,C,208,127,1999,ne,da
Chris Babb,2014,2014,G,196,102,1990,ne,ne
Luke Babbitt,2011,2018,F,206,102,1989,ne,ne
Miloš Babić,1991,1992,C-F,213,109,1968,ne,ne
Johnny Bach,1949,1949,F-G,188,82,1924,ne,ne
Dwayne Bacon,2018,2021,G,198,100,1995,ne,ne
Henry Bacon,1973,1973,G,190,93,1948,ne,ne
Jim Baechtold,1953,1957,F-G,193,93,1927,ne,ne
Dalibor Bagarić,2001,2003,C,216,116,1980,ne,ne
John Bagley,1983,1994,G,183,84,1960,ne,ne
Marvin Bagley III,2019,2023,F-C,211,107,1999,ne,da
Carl Bailey,1982,1982,C,213,95,1958,ne,ne
Gus Bailey,1975,1980,G-F,196,84,1951,ne,ne
James Bailey,1980,1988,F-C,206,100,1957,ne,ne
Thurl Bailey,1984,1999,F-C,211,98,1961,ne,ne
Toby Bailey,1999,2000,G,198,97,1975,ne,ne
Cameron Bairstow,2015,2016,F-C,206,114,1990,ne,ne
Jimmie Baker,1976,1976,F,206,100,1953,ne,ne
Mark Baker,1999,1999,G,185,79,1969,ne,ne
Maurice Baker,2005,2005,G,185,79,1979,ne,ne
Norm Baker,1947,1947,G,183,82,1923,ne,ne
Ron Baker,2017,2019,G,193,100,1993,ne,ne
Vin Baker,1994,2006,F,211,105,1971,ne,ne
Patrick Baldwin Jr.,2023,2023,G-F,206,100,2002,ne,da
Wade Baldwin,2017,2019,G,193,91,1996,ne,ne
Renaldo Balkman,2007,2012,F,203,94,1984,ne,ne
Cedric Ball,1991,1991,F,203,95,1968,ne,ne
LaMelo Ball,2021,2023,G,201,82,2001,ne,da
Lonzo Ball,2018,2022,G,198,86,1997,ne,da
Greg Ballard,1978,1989,F,201,98,1955,ne,ne
Herschel Baltimore,1947,1947,F,193,89,1921,ne,ne
Mo Bamba,2019,2023,C,213,105,1998,ne,da
Paolo Banchero,2023,2023,F,208,114,2002,ne,da
Desmond Bane,2021,2023,G,196,98,1998,ne,da
Gene Banks,1982,1987,F-G,201,98,1959,ne,ne
Marcus Banks,2004,2011,G,188,91,1981,ne,ne
Walker Banks,1971,1971,C,208,93,1947,ne,ne
Ken Bannister,1985,1991,F-C,206,107,1960,ne,ne
Mike Bantom,1974,1982,F-C,206,91,1951,ne,ne
Dalano Banton,2022,2023,G-F,206,93,1999,ne,da
Cat Barber,2022,2022,G,188,86,1994,ne,da
John Barber,1957,1957,F,198,95,1927,ne,ne
Leandro Barbosa,2004,2017,G,190,88,1982,ne,ne
Steve Bardo,1992,1996,G,196,86,1968,ne,ne
J.J. Barea,2007,2020,G,178,82,1984,ne,ne
Andrea Bargnani,2007,2016,F-C,213,111,1985,ne,ne
Cliff Barker,1950,1952,G,188,84,1921,ne,ne
Tom Barker,1977,1979,C-F,211,102,1955,ne,ne
Charles Barkley,1985,2000,F,198,114,1963,da,ne
Erick Barkley,2001,2002,G,185,80,1978,ne,ne
Don Barksdale,1952,1955,F-C,198,91,1923,da,ne
Dominick Barlow,2023,2023,F,206,100,2003,ne,da
Harrison Barnes,2013,2023,F,203,102,1992,ne,da
Harry Barnes,1969,1969,F,190,93,1945,ne,ne
Jim Barnes,1965,1971,C-F,203,95,1941,ne,ne
Marvin Barnes,1975,1980,F-C,203,95,1952,ne,ne
Matt Barnes,2004,2017,F,201,103,1980,ne,ne
Scottie Barnes,2022,2023,G-F,206,103,2001,ne,da
Dick Barnett,1960,1974,G-F,193,86,1936,ne,ne
Jim Barnett,1967,1977,G-F,193,77,1944,ne,ne
Nate Barnett,1976,1976,G,190,79,1953,ne,ne
John Barnhill,1963,1972,G,185,82,1938,ne,ne
Norton Barnhill,1977,1977,G,193,93,1953,ne,ne
Leo Barnhorst,1950,1954,F-G,193,86,1924,ne,ne
John Barr,1947,1947,F,190,93,1918,ne,ne
Mike Barr,1973,1977,G,190,82,1950,ne,ne
Moe Barr,1971,1971,G,193,89,1944,ne,ne
Andre Barrett,2005,2008,G,178,78,1982,ne,ne
Ernie Barrett,1954,1956,G-F,190,82,1929,ne,ne
Mike Barrett,1970,1973,G,188,70,1943,ne,ne
RJ Barrett,2020,2023,G-F,198,97,2000,ne,da
Earl Barron,2006,2015,C,213,114,1981,ne,ne
Dana Barros,1990,2004,G,180,74,1967,ne,ne
Brent Barry,1996,2009,G,198,84,1971,ne,ne
Drew Barry,1998,2000,G,196,87,1973,ne,ne
Jon Barry,1993,2006,G,193,89,1969,ne,ne
Rick Barry,1966,1980,F,201,93,1944,da,ne
Ed Bartels,1950,1951,F,196,89,1925,ne,ne
Vic Bartolome,1972,1972,C,213,104,1948,ne,ne
Will Barton,2013,2023,G,198,82,1991,ne,da
Eddie Basden,2006,2006,G,196,98,1983,ne,ne
Jerry Baskerville,1976,1976,F,201,86,1951,ne,ne
Brandon Bass,2006,2017,F,203,114,1985,ne,ne
Paris Bass,2022,2022,F,203,91,1995,ne,da
Tim Bassett,1974,1980,F-C,203,102,1951,ne,ne
Charles Bassey,2022,2023,C,211,107,2000,ne,da
Maceo Baston,2003,2009,F,206,98,1975,ne,ne
Mengke Bateer,2002,2004,C,211,132,1975,ne,ne
Billy Ray Bates,1980,1983,G,193,95,1956,ne,ne
Keita Bates-Diop,2019,2023,F,203,104,1996,ne,da
Esteban Batista,2006,2007,F-C,208,123,1983,ne,ne
Mike Batiste,2003,2003,F,203,102,1977,ne,ne
Tony Battie,1998,2012,C-F,211,104,1976,ne,ne
Shane Battier,2002,2014,F,203,100,1978,ne,ne
John Battle,1986,1995,G,188,79,1962,ne,ne
Kenny Battle,1990,1993,F,198,95,1964,ne,ne
Dave Batton,1983,1984,C,208,109,1956,ne,ne
Lloyd Batts,1975,1975,G-F,193,84,1951,ne,ne
Nicolas Batum,2009,2023,F-G,203,104,1988,ne,da
Johnny Baum,1970,1974,F,196,91,1946,ne,ne
Frankie Baumholtz,1947,1947,G,178,77,1918,ne,ne
Lonny Baxter,2003,2006,F,203,118,1979,ne,ne
Jerryd Bayless,2009,2019,G,190,91,1988,ne,ne
Elgin Baylor,1959,1972,F,196,102,1934,da,ne
Howard Bayne,1968,1968,F,198,107,1942,ne,ne
Aron Baynes,2013,2021,C,208,118,1986,ne,ne
Sergei Bazarevich,1995,1995,G,188,76,1965,ne,ne
Kent Bazemore,2013,2022,G-F,193,89,1989,ne,da
Darius Bazley,2020,2023,F,203,94,2000,ne,da
Ed Beach,1951,1951,F,190,91,1929,ne,ne
Bradley Beal,2013,2023,G,193,94,1993,ne,da
Al Beard,1968,1968,C,206,91,1942,ne,ne
Butch Beard,1970,1979,G,190,84,1947,ne,ne
Ralph Beard,1950,1951,G,178,79,1927,ne,ne
