ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Kyle Korver,2004,2020,G-F,201,96,1981,ne,ne
Tony Koski,1969,1969,F,203,98,1946,ne,ne
Len Kosmalski,1975,1976,C,213,111,1951,ne,ne
Andy Kostecka,1949,1949,F,190,92,1921,ne,ne
Harold Kottman,1947,1947,C,203,100,1922,ne,ne
Kosta Koufos,2009,2019,C,213,111,1989,ne,ne
Tom Kozelko,1974,1976,F,203,100,1951,ne,ne
Ron Kozlicki,1968,1968,F,201,98,1944,ne,ne
Arvid Kramer,1980,1980,C,206,100,1956,ne,ne
Barry Kramer,1965,1970,F-G,193,91,1942,ne,ne
Joel Kramer,1979,1983,F-C,201,92,1955,ne,ne
Steve Kramer,1968,1970,G-F,196,91,1945,ne,ne
Dan Kraus,1949,1949,G,183,89,1923,ne,ne
Herb Krautblatt,1949,1949,G,185,86,1926,ne,ne
Viacheslav Kravtsov,2013,2014,C,213,118,1987,ne,ne
Jim Krebs,1958,1964,C-F,203,104,1935,ne,ne
Vit Krejci,2022,2023,G,203,89,2000,ne,da
Wayne Kreklow,1981,1981,G,193,79,1957,ne,ne
Tommy Kron,1967,1970,G,196,91,1943,ne,ne
Tom Kropp,1976,1977,G,190,93,1953,ne,ne
Nenad Krstić,2005,2011,C,213,109,1983,ne,ne
Larry Krystkowiak,1987,1997,F-C,206,100,1964,ne,ne
Steve Kuberski,1970,1978,F-C,203,98,1947,ne,ne
Leo Kubiak,1950,1950,G,180,73,1927,ne,ne
Bruce Kuczenski,1984,1984,F,208,104,1961,ne,ne
Frank Kudelka,1950,1953,G-F,188,88,1925,ne,ne
John Kuester,1978,1980,G,188,82,1955,ne,ne
Ray Kuka,1948,1949,F,190,91,1922,ne,ne
Toni Kukoč,1994,2006,F,208,87,1968,da,ne
Arnoldas Kulboka,2022,2022,F,206,90,1998,ne,ne
Jonathan Kuminga,2022,2023,F,203,95,2002,ne,da
Kevin Kunnert,1974,1982,C-F,213,104,1951,ne,ne
Terry Kunze,1968,1968,G-F,193,95,1943,ne,ne
Mitch Kupchak,1977,1986,F-C,206,104,1954,ne,ne
C.J. Kupec,1976,1978,F-C,198,100,1953,ne,ne
Rodions Kurucs,2019,2021,F,206,104,1998,ne,ne
Rob Kurz,2009,2009,F,206,105,1985,ne,ne
Ibo Kutluay,2005,2005,G,198,91,1974,ne,ne
Kyle Kuzma,2018,2023,F,206,100,1995,ne,da
Ognjen Kuzmić,2014,2015,C,216,114,1990,ne,ne
Mindaugas Kuzminskas,2017,2018,F,206,98,1989,ne,ne
Fred LaCour,1961,1963,G-F,196,95,1938,ne,ne
Raef LaFrentz,1999,2008,F-C,211,109,1976,ne,ne
Tom LaGarde,1978,1985,C-F,208,100,1955,ne,ne
Jake LaRavia,2023,2023,F,203,107,2001,ne,da
Rusty LaRue,1998,2004,G,188,95,1973,ne,ne
Rudy LaRusso,1960,1969,F-C,201,100,1937,ne,ne
Zach LaVine,2015,2023,G-F,196,91,1995,ne,da
Skal Labissière,2017,2020,F,208,107,1996,ne,ne
Reggie Lacefield,1969,1969,G-F,196,104,1945,ne,ne
Edgar Lacey,1969,1969,F,198,86,1944,ne,ne
Sam Lacey,1971,1983,C,208,107,1948,ne,ne
Bob Lackey,1973,1974,G-F,196,91,1949,ne,ne
Wendell Ladner,1971,1975,F,196,100,1948,ne,ne
Christian Laettner,1993,2005,F-C,211,107,1969,ne,ne
Oliver Lafayette,2010,2010,G,188,86,1984,ne,ne
Bill Laimbeer,1981,1994,C,211,111,1957,ne,ne
Pete Lalich,1947,1947,F,188,86,1920,ne,ne
Bo Lamar,1974,1977,G,185,82,1951,ne,ne
Anthony Lamb,2021,2023,F,198,103,1998,ne,da
Doron Lamb,2013,2014,G,193,95,1991,ne,ne
Jeremy Lamb,2013,2022,G-F,196,82,1992,ne,ne
John Lambert,1976,1982,C-F,208,102,1953,ne,ne
Jeff Lamp,1982,1989,F-G,198,89,1959,ne,ne
Maciej Lampe,2004,2006,C,211,125,1985,ne,ne
Jim Lampley,1987,1987,C,208,104,1960,ne,ne
Sean Lampley,2003,2004,F,201,103,1979,ne,ne
Jock Landale,2022,2023,C,211,116,1995,ne,da
Carl Landry,2008,2016,F,206,113,1983,ne,ne
Marcus Landry,2010,2010,F,201,104,1985,ne,ne
Mark Landsberger,1978,1984,F-C,203,98,1955,ne,ne
Jerome Lane,1989,1993,F,198,104,1966,ne,ne
Andrew Lang,1989,2000,C,211,111,1966,ne,ne
Antonio Lang,1995,2000,F-G,203,93,1972,ne,ne
James Lang,2007,2007,C,208,129,1983,ne,ne
Trajan Langdon,2000,2002,G,190,89,1976,ne,ne
Keith Langford,2008,2008,G,193,98,1983,ne,ne
Romeo Langford,2020,2023,G,193,98,1999,ne,da
Dan Langhi,2001,2004,F,211,100,1977,ne,ne
Bob Lanier,1971,1984,C,211,114,1948,da,ne
Stu Lantz,1969,1976,G,190,79,1946,ne,ne
Nicolás Laprovíttola,2017,2017,G,193,82,1990,ne,ne
York Larese,1962,1962,G,193,83,1938,ne,ne
Shane Larkin,2014,2018,G,180,79,1992,ne,ne
John Laskowski,1976,1977,G,198,84,1953,ne,ne
Stéphane Lasme,2008,2008,F,203,98,1982,ne,ne
Dave Lattin,1968,1973,F-C,198,102,1943,ne,ne
Priest Lauderdale,1997,1998,C,224,148,1973,ne,ne
Rich Laurel,1978,1978,G,198,86,1954,ne,ne
Harry Laurie,1971,1971,G,185,81,1944,ne,ne
Walt Lautenbach,1950,1950,G-F,188,84,1922,ne,ne
Joffrey Lauvergne,2015,2018,C-F,211,100,1991,ne,ne
Tony Lavelli,1950,1951,F,190,84,1926,ne,ne
Bob Lavoy,1951,1954,F-C,201,84,1926,ne,ne
Acie Law,2008,2011,G,190,89,1985,ne,ne
Vic Law,2020,2020,F,201,91,1995,ne,ne
Gani Lawal,2011,2011,F,206,106,1988,ne,ne
Edmund Lawrence,1981,1981,C,213,104,1952,ne,ne
A.J. Lawson,2023,2023,G,198,81,2000,ne,da
Jason Lawson,1998,1998,C,211,109,1974,ne,ne
Ty Lawson,2010,2017,G,180,89,1987,ne,ne
Jake Layman,2017,2022,F,203,95,1994,ne,da
Mo Layton,1972,1978,G,185,82,1948,ne,ne
Caris LeVert,2017,2023,G-F,198,93,1994,ne,da
T.J. Leaf,2018,2021,F,208,101,1997,ne,ne
Manny Leaks,1969,1974,C-F,203,102,1945,ne,ne
Hal Lear,1957,1957,G,183,74,1935,ne,ne
Allen Leavell,1980,1989,G,185,77,1957,ne,ne
Jeff Lebo,1990,1990,G,188,82,1966,ne,ne
Eric Leckner,1989,1997,C-F,211,120,1966,ne,ne
Jalen Lecque,2020,2021,G,193,84,2000,ne,da
Ricky Ledo,2014,2015,G,201,89,1992,ne,ne
Butch Lee,1979,1980,G,183,84,1956,ne,ne
Clyde Lee,1967,1976,F-C,208,93,1944,ne,ne
Courtney Lee,2009,2020,G,196,98,1985,ne,ne
Damion Lee,2018,2023,G,196,95,1992,ne,da
Dave Lee,1968,1969,F,201,102,1942,ne,ne
David Lee,2006,2017,F,206,111,1983,ne,ne
Dick Lee,1968,1968,F,198,,,ne,ne
Doug Lee,1992,1995,G-F,196,91,1964,ne,ne
George Lee,1961,1968,F-G,193,91,1936,ne,ne
Greg Lee,1975,1976,G,190,86,1951,ne,ne
Keith Lee,1986,1989,F-C,208,98,1962,ne,ne
Kurk Lee,1991,1991,G,190,86,1967,ne,ne
Malcolm Lee,2012,2015,G,196,91,1990,ne,ne
Rock Lee,1982,1982,C,208,100,1955,ne,ne
Ron Lee,1977,1982,G,193,88,1952,ne,ne
Russ Lee,1973,1975,G-F,196,84,1950,ne,ne
Saben Lee,2021,2023,G,188,83,1999,ne,da
Ed Leede,1950,1951,F-G,190,84,1927,ne,ne
Hank Lefkowitz,1947,1947,F,188,86,1923,ne,ne
Tim Legler,1990,2000,G,193,91,1966,ne,ne
George Lehmann,1968,1974,G,183,82,1942,ne,ne
Barry Leibowitz,1968,1968,G,188,82,1945,ne,ne
Walt Lemon Jr.,2018,2019,G,190,82,1992,ne,ne
Alex Len,2014,2023,C,213,114,1993,ne,da
Voshon Lenard,1996,2006,G,193,93,1973,ne,ne
Leary Lentz,1968,1969,F,198,91,1945,ne,ne
Gary Leonard,1990,1992,C,216,114,1967,ne,ne
Kawhi Leonard,2012,2023,F,201,102,1991,ne,da
Meyers Leonard,2013,2023,C-F,213,118,1992,ne,da
Slick Leonard,1957,1963,G,190,84,1932,da,ne
Jim Les,1989,1995,G,180,75,1963,ne,ne
Travis Leslie,2012,2012,G,193,93,1990,ne,ne
Ronnie Lester,1981,1986,G,188,79,1959,ne,ne
Clifford Lett,1990,1991,G,190,77,1965,ne,ne
Jon Leuer,2012,2019,F,208,104,1989,ne,ne
Andrew Levane,1949,1953,F-G,188,86,1920,ne,ne
Fat Lever,1983,1994,G,190,77,1960,ne,ne
Cliff Levingston,1983,1995,F,203,95,1961,ne,ne
Bobby Lewis,1968,1971,G,190,79,1945,ne,ne
Cedric Lewis,1996,1996,F-C,208,107,1969,ne,ne
Freddie Lewis,1949,1950,F-G,188,89,1921,ne,ne
Freddie Lewis,1967,1977,G,183,79,1943,ne,ne
Grady Lewis,1947,1949,F-C,201,98,1917,ne,ne
Kira Lewis Jr.,2021,2023,G,185,77,2001,ne,da
Martin Lewis,1996,1997,F,196,95,1975,ne,ne
Mike Lewis,1969,1974,C-F,203,102,1946,ne,ne
Quincy Lewis,2000,2004,F,201,98,1977,ne,ne
Ralph Lewis,1988,1990,F-G,198,91,1963,ne,ne
Rashard Lewis,1999,2014,F,208,98,1979,ne,ne
Reggie Lewis,1988,1993,G-F,201,89,1965,ne,ne
Scottie Lewis,2022,2022,G,196,86,2000,ne,ne
Marcus Liberty,1991,1994,F,203,93,1968,ne,ne
Todd Lichti,1990,1994,G-F,193,93,1967,ne,ne
DeAndre Liggins,2012,2018,G,198,95,1988,ne,ne
Bill Ligon,1975,1975,G,193,82,1952,ne,ne
Goose Ligon,1968,1974,F-C,201,95,1944,ne,ne
Damian Lillard,2013,2023,G,188,89,1990,ne,da
Jeremy Lin,2011,2019,G,190,91,1988,ne,ne
Steve Lingenfelter,1983,1984,F,206,102,1958,ne,ne
Alton Lister,1982,1998,C-F,213,109,1958,ne,ne
Nassir Little,2020,2023,F,196,100,2000,ne,da
Sammy Little,1970,1970,G,183,82,1946,ne,ne
Gene Littles,1970,1975,G,183,73,1943,ne,ne
Isaiah Livers,2022,2023,F,201,104,1998,ne,da
Randy Livingston,1997,2007,G,193,95,1975,ne,ne
Shaun Livingston,2005,2019,G,201,87,1985,ne,ne
Ron Livingstone,1950,1951,C,208,100,1925,ne,ne
Horacio Llamas,1997,1998,C,211,129,1973,ne,ne
Bobby Lloyd,1968,1969,G,188,84,1946,ne,ne
Chuck Lloyd,1971,1971,C-F,203,100,1947,ne,ne
Earl Lloyd,1951,1960,F-C,196,91,1928,da,ne
Lewis Lloyd,1982,1990,G-F,198,93,1959,ne,ne
Scott Lloyd,1977,1983,C-F,208,104,1952,ne,ne
Riney Lochmann,1968,1970,F,198,98,1944,ne,ne
Bob Lochmueller,1953,1953,F,196,84,1927,ne,ne
Rob Lock,1989,1989,F,206,102,1966,ne,ne
Darrell Lockhart,1984,1984,C,206,111,1960,ne,ne
Ian Lockhart,1991,1991,F,203,109,1967,ne,ne
Kevin Loder,1982,1984,F-G,198,93,1959,ne,ne
Don Lofgran,1951,1954,F-C,196,91,1929,ne,ne
Kenneth Lofton Jr.,2023,2023,F,201,125,2002,ne,da
Zach Lofton,2019,2019,G,193,82,1992,ne,ne
Henry Logan,1969,1970,G,183,82,1946,ne,ne
John Logan,1947,1951,G,188,79,1921,ne,ne
Brad Lohaus,1988,1998,F-C,211,104,1964,ne,ne
Art Long,2001,2003,F-C,206,114,1972,ne,ne
Grant Long,1989,2003,F,203,102,1966,ne,ne
John Long,1979,1997,G-F,196,89,1956,ne,ne
Paul Long,1968,1971,G,188,82,1944,ne,ne
Shawn Long,2017,2017,C-F,206,116,1993,ne,ne
Willie Long,1972,1974,F-C,203,102,1950,ne,ne
Luc Longley,1992,2001,C,218,120,1969,ne,ne
Kevon Looney,2016,2023,F-C,206,101,1996,ne,da
Brook Lopez,2009,2023,C,213,128,1988,ne,da
Felipe López,1999,2002,G,196,90,1974,ne,ne
Raül López,2004,2005,G,185,77,1980,ne,ne
Robin Lopez,2009,2023,C,213,128,1988,ne,da
Ryan Lorthridge,1995,1995,G,193,86,1972,ne,ne
Jim Loscutoff,1956,1964,F,196,100,1930,ne,ne
Plummer Lott,1968,1969,F-G,196,95,1945,ne,ne
Kevin Loughery,1963,1973,G,190,86,1940,ne,ne
Didi Louzada,2021,2022,G,196,85,1999,ne,da
Bob Love,1967,1977,F,203,98,1942,ne,ne
Kevin Love,2009,2023,F,203,114,1988,ne,da
Stan Love,1972,1975,F,206,98,1949,ne,ne
Clyde Lovellette,1954,1964,C-F,206,106,1929,da,ne
Sidney Lowe,1984,1990,G,183,89,1960,ne,ne
Charlie Lowery,1972,1972,G,190,84,1949,ne,ne
Kyle Lowry,2007,2023,G,183,89,1986,ne,da
Jordan Loyd,2019,2019,G,193,95,1993,ne,ne
Al Lucas,1949,1949,F-G,190,89,1922,ne,ne
Jerry Lucas,1964,1974,F-C,203,104,1940,da,ne
John Lucas,1977,1990,G,190,79,1953,ne,ne
Kalin Lucas,2015,2019,G,185,89,1989,ne,ne
Maurice Lucas,1975,1988,F-C,206,98,1952,ne,ne
John Lucas III,2006,2017,G,180,75,1982,ne,ne
Ted Luckenbill,1962,1963,F,198,93,1939,ne,ne
Tyronn Lue,1999,2009,G,183,79,1977,ne,ne
Jim Luisi,1954,1954,G,188,82,1928,ne,ne
Al Lujack,1947,1947,F,190,100,1920,ne,ne
Phil Lumpkin,1975,1976,G,183,75,1951,ne,ne
Ray Lumpp,1949,1953,G,185,81,1923,ne,ne
Gabriel Lundberg,2022,2022,G,193,92,1994,ne,ne
Timothé Luwawu-Cabarrot,2017,2022,F,201,100,1995,ne,da
Tyler Lydon,2018,2019,F,208,102,1996,ne,ne
Trey Lyles,2016,2023,F,206,106,1995,ne,da
R.B. Lynam,1968,1968,G,185,86,,ne,ne
George Lynch,1994,2005,F,203,99,1970,ne,ne
Kevin Lynch,1992,1993,G-F,196,89,1968,ne,ne
Lonnie Lynn,1970,1970,F,201,98,1943,ne,ne
Mike Lynn,1970,1971,F,201,98,1945,ne,ne
Sheldon Mac,2017,2017,G,196,91,1992,ne,ne
Todd MacCulloch,2000,2003,C,213,127,1976,ne,ne
Ronnie MacGilvray,1955,1955,G,188,84,1930,ne,ne
Don MacLean,1993,2001,F,208,107,1970,ne,ne
Mike Macaluso,1974,1974,F,196,95,1951,ne,ne
Ed Macauley,1950,1959,C-F,203,84,1928,da,ne
Scott Machado,2013,2019,G,185,93,1990,ne,ne
Arvydas Macijauskas,2006,2006,G,193,97,1980,ne,ne
Ollie Mack,1980,1982,G,190,84,1957,ne,ne
Sam Mack,1993,2002,F-G,201,100,1970,ne,ne
Shelvin Mack,2012,2019,G,190,92,1990,ne,ne
Malcolm Mackey,1994,1994,F-C,206,113,1970,ne,ne
Rudy Macklin,1982,1984,F-G,201,93,1958,ne,ne
Vernon Macklin,2012,2012,F,208,103,1986,ne,ne
Johnny Macknowski,1950,1951,G-F,183,82,1923,ne,ne
Daryl Macon,2019,2020,G,188,84,1995,ne,ne
Mark Macon,1992,1999,G,196,84,1969,ne,ne
J.P. Macura,2019,2020,G,196,92,1995,ne,ne
Kyle Macy,1981,1987,G,190,79,1957,ne,ne
Jack Maddox,1949,1949,F-G,190,84,1919,ne,ne
Tito Maddox,2003,2003,G,193,86,1981,ne,ne
Gerald Madkins,1994,1998,G,193,91,1969,ne,ne
Mark Madsen,2001,2009,F-C,206,109,1976,ne,ne
Norm Mager,1951,1951,F,196,84,1926,ne,ne
Josh Magette,2018,2020,G,185,73,1989,ne,ne
Corey Maggette,2000,2013,F,198,99,1979,ne,ne
Dave Magley,1983,1983,F,203,92,1959,ne,ne
Jamaal Magloire,2001,2012,C,211,118,1978,ne,ne
Will Magnay,2021,2021,C,208,106,1998,ne,ne
Randy Mahaffey,1968,1971,F,201,95,1945,ne,ne
Ian Mahinmi,2008,2020,C,211,119,1986,ne,ne
John Mahnken,1947,1953,C,203,100,1922,ne,ne
Brian Mahoney,1973,1973,G,190,79,1948,ne,ne
Mo Mahoney,1953,1954,F,188,93,1927,ne,ne
Rick Mahorn,1981,1999,C-F,208,109,1958,ne,ne
Dan Majerle,1989,2002,G-F,198,98,1965,ne,ne
Renaldo Major,2007,2007,F,201,91,1982,ne,ne
Thon Maker,2017,2021,F-C,213,100,1997,ne,ne
Lionel Malamed,1949,1949,G,175,68,1924,ne,ne
Théo Maledon,2021,2023,G,193,79,2001,ne,da
Jeff Malone,1984,1996,G,193,93,1961,ne,ne
Karl Malone,1986,2004,F,206,114,1963,da,ne
Moses Malone,1975,1995,C-F,208,98,1955,da,ne
Matt Maloney,1997,2003,G,190,87,1971,ne,ne
Steve Malovic,1980,1980,F,208,104,1956,ne,ne
Mike Maloy,1971,1973,F,201,98,1949,ne,ne
Sandro Mamukelashvili,2022,2023,C-F,211,109,1999,ne,da
Ted Manakas,1974,1974,G,188,82,1951,ne,ne
John Mandic,1949,1950,F-C,193,93,1919,ne,ne
Karim Mané,2021,2021,G,190,86,2000,ne,da
Frank Mangiapane,1947,1947,G,178,89,1925,ne,ne
Terance Mann,2020,2023,G-F,196,98,1996,ne,da
Tre Mann,2022,2023,G,190,81,2001,ne,da
Danny Manning,1989,2003,F-C,208,104,1966,ne,ne
Ed Manning,1968,1976,F,201,95,1944,ne,ne
Guy Manning,1968,1969,F,198,89,1944,ne,ne
Rich Manning,1996,1997,C,211,115,1970,ne,ne
Nico Mannion,2021,2021,G,188,86,2001,ne,da
Pace Mannion,1984,1989,G,201,86,1960,ne,ne
Nick Mantis,1960,1963,G,190,86,1935,ne,ne
Pete Maravich,1971,1980,G,196,89,1947,da,ne
Press Maravich,1947,1947,G,183,84,1915,ne,ne
Devyn Marble,2015,2016,G-F,198,91,1992,ne,ne
Roy Marble,1990,1994,G-F,198,86,1966,ne,ne
Stephon Marbury,1997,2009,G,188,82,1977,ne,ne
Šarūnas Marčiulionis,1990,1997,G,196,91,1964,da,ne
Saul Mariaschin,1948,1948,G,180,75,1924,ne,ne
Jack Marin,1967,1977,F-G,201,91,1944,ne,ne
Shawn Marion,2000,2015,F,201,100,1978,ne,ne
Boban Marjanović,2016,2023,C,221,132,1988,ne,da
Lauri Markkanen,2018,2023,F-C,213,109,1997,ne,da
Damir Markota,2007,2007,C,208,102,1985,ne,ne
Sean Marks,1999,2011,F-C,208,114,1975,ne,ne
Harvey Marlatt,1971,1973,G,190,84,1948,ne,ne
Jim Marsh,1972,1972,F,201,98,1946,ne,ne
Ricky Marsh,1978,1978,G,190,91,1954,ne,ne
Donny Marshall,1996,2003,F,201,104,1972,ne,ne
Donyell Marshall,1995,2009,F,206,99,1973,ne,ne
Kendall Marshall,2013,2016,G,193,91,1991,ne,ne
Naji Marshall,2021,2023,F,201,100,1998,ne,da
Rawle Marshall,2006,2007,G-F,206,86,1982,ne,ne
Tom Marshall,1955,1959,F-G,193,98,1931,ne,ne
Vester Marshall,1974,1974,F,201,91,1948,ne,ne
Bill Martin,1986,1988,F,201,93,1962,ne,ne
Bob Martin,1994,1995,C,213,114,1969,ne,ne
Brian Martin,1986,1986,F,206,96,1962,ne,ne
Caleb Martin,2020,2023,F,196,93,1995,ne,da
Cartier Martin,2009,2015,F,201,100,1984,ne,ne
Cody Martin,2020,2023,G-F,196,93,1995,ne,da
Cuonzo Martin,1996,1997,G-F,196,97,1971,ne,ne
Darrick Martin,1995,2008,G,180,77,1971,ne,ne
Dino Martin,1947,1948,G,173,73,1920,ne,ne
Don Martin,1947,1949,C-F,201,95,1920,ne,ne
Fernando Martín,1987,1987,C,206,100,1962,ne,ne
Jarell Martin,2016,2019,F,208,109,1994,ne,ne
Jeff Martin,1990,1991,G,196,89,1967,ne,ne
Jeremiah Martin,2020,2021,G,190,84,1996,ne,ne
Kelan Martin,2020,2022,F,196,104,1995,ne,da
Kenyon Martin,2001,2015,F,206,106,1977,ne,ne
Kenyon Martin Jr.,2021,2023,F,198,98,2001,ne,da
Kevin Martin,2005,2016,G,201,90,1983,ne,ne
LaRue Martin,1973,1976,C,211,94,1950,ne,ne
Maurice Martin,1987,1988,F-G,198,91,1964,ne,ne
Phil Martin,1955,1955,G,190,86,1928,ne,ne
Slater Martin,1950,1960,G,178,77,1925,da,ne
Tyrese Martin,2023,2023,G,198,98,1999,ne,da
Whitey Martin,1962,1962,G,188,84,1939,ne,ne
Jamal Mashburn,1994,2004,F,203,109,1972,ne,ne
Al Masino,1953,1954,G,178,79,1928,ne,ne
Anthony Mason,1990,2003,F,201,114,1966,ne,ne
Desmond Mason,2001,2010,F,201,102,1977,ne,ne
Frank Mason III,2018,2021,G,180,86,1994,ne,ne
Roger Mason,2003,2014,G,196,91,1980,ne,ne
Tony Massenburg,1991,2005,F,206,100,1967,ne,ne
Eddie Mast,1971,1973,F-C,206,100,1948,ne,ne
Yante Maten,2019,2019,F,203,109,1996,ne,ne
Garrison Mathews,2020,2023,G,196,98,1996,ne,da
Mangok Mathiang,2018,2018,C-F,208,104,1992,ne,ne
Dakota Mathias,2021,2022,G,193,91,1995,ne,da
Johnny Mathis,1968,1968,F,198,100,1943,ne,ne
Bennedict Mathurin,2023,2023,G-F,198,95,2002,ne,da
Wes Matthews,1981,1990,G,185,77,1959,ne,ne
Wesley Matthews,2010,2023,G,193,100,1986,ne,da
Ariel Maughan,1947,1951,F,193,86,1923,ne,ne
Marlon Maxey,1993,1994,F,203,114,1969,ne,ne
Tyrese Maxey,2021,2023,G,188,91,2000,ne,da
Jason Maxiell,2006,2015,F-C,201,118,1983,ne,ne
Cedric Maxwell,1978,1988,F,203,93,1955,ne,ne
Vernon Maxwell,1989,2001,G,193,82,1965,ne,ne
Don May,1969,1975,F,193,91,1946,ne,ne
Scott May,1977,1983,F,201,98,1954,ne,ne
Sean May,2006,2010,F-C,206,121,1984,ne,ne
Lee Mayberry,1993,1999,G,185,78,1970,ne,ne
Clyde Mayes,1976,1977,F,203,102,1953,ne,ne
Tharon Mayes,1992,1992,G,190,79,1968,ne,ne
Bill Mayfield,1981,1981,F,201,93,1957,ne,ne
Ken Mayfield,1976,1976,G,188,84,1948,ne,ne
Eric Maynor,2010,2014,G,190,79,1987,ne,ne
O.J. Mayo,2009,2016,G,196,95,1987,ne,ne
Skylar Mays,2021,2023,G,193,93,1997,ne,da
Travis Mays,1991,1993,G,188,86,1968,ne,ne
Matt Mazza,1950,1950,F,190,95,1923,ne,ne
Luc Mbah a Moute,2009,2020,F,203,104,1986,ne,ne
Bob McAdoo,1973,1986,C-F,206,95,1951,da,ne
James Michael McAdoo,2015,2018,F,206,104,1993,ne,ne
Ken McBride,1955,1955,G-F,190,86,1929,ne,ne
Miles McBride,2022,2023,G,188,91,2000,ne,da
Tahjere McCall,2019,2019,G,196,89,1994,ne,ne
Ray McCallum,2014,2016,G,190,86,1991,ne,ne
Bob McCann,1990,1998,F,198,111,1964,ne,ne
Brendan McCann,1958,1960,G,188,81,1935,ne,ne
Mel McCants,1990,1990,F,203,109,1967,ne,ne
Rashad McCants,2006,2009,G,193,94,1984,ne,ne
Mike McCarron,1947,1950,G,180,82,1922,ne,ne
Andre McCarter,1977,1981,G,190,86,1953,ne,ne
Willie McCarter,1970,1972,G,190,79,1946,ne,ne
Johnny McCarthy,1957,1964,G,185,84,1934,ne,ne
Howie McCarty,1947,1947,F-G,188,86,1919,ne,ne
Kelly McCarty,1999,1999,G-F,201,91,1975,ne,ne
Walter McCarty,1997,2006,F,208,104,1974,ne,ne
Amal McCaskill,1997,2004,F-C,211,107,1973,ne,ne
Patrick McCaw,2017,2021,G,201,82,1995,ne,da
Dwayne McClain,1986,1986,G,198,84,1963,ne,ne
Ted McClain,1972,1979,G,185,82,1946,ne,ne
Dan McClintock,2001,2001,C,213,123,1977,ne,ne
Jack McCloskey,1953,1953,G,188,86,1925,ne,ne
George McCloud,1990,2002,G-F,198,93,1967,ne,ne
Mac McClung,2022,2023,G,188,84,1999,ne,da
CJ McCollum,2014,2023,G,190,86,1991,ne,da
John McConathy,1952,1952,F,196,89,1930,ne,ne
Bucky McConnell,1953,1953,G,178,77,1928,ne,ne
T.J. McConnell,2016,2023,G,185,86,1992,ne,da
Keith McCord,1981,1981,G,201,95,1957,ne,ne
Tim McCormick,1985,1992,C,211,109,1962,ne,ne
Jelani McCoy,1999,2008,C,208,111,1977,ne,ne
Paul McCracken,1973,1977,G,193,82,1950,ne,ne
Chris McCray,2007,2007,G,196,87,1984,ne,ne
Rodney McCray,1984,1993,F-G,201,100,1961,ne,ne
Scooter McCray,1984,1987,F-G,206,98,1960,ne,ne
Erik McCree,2018,2018,F,201,99,1993,ne,ne
Chris McCullough,2016,2018,F,211,91,1995,ne,ne
John McCullough,1982,1982,G,193,86,1956,ne,ne
Clint McDaniel,1996,1996,G,193,82,1972,ne,ne
Xavier McDaniel,1986,1998,F,201,93,1963,ne,ne
Jaden McDaniels,2021,2023,F,206,84,2000,ne,da
Jalen McDaniels,2020,2023,F,206,93,1998,ne,da
Jim McDaniels,1972,1978,C-F,211,104,1948,ne,ne
K.J. McDaniels,2015,2017,G-F,198,93,1993,ne,ne
Doug McDermott,2015,2023,F,201,102,1992,ne,da
Sean McDermott,2021,2021,F,198,89,1996,ne,da
Ben McDonald,1986,1989,F,203,95,1962,ne,ne
Glenn McDonald,1975,1977,F-G,198,86,1952,ne,ne
Michael McDonald,1998,1998,C,208,105,1969,ne,ne
Rod McDonald,1971,1973,F,198,93,1945,ne,ne
Hank McDowell,1982,1987,F-C,206,98,1959,ne,ne
Antonio McDyess,1996,2011,F-C,206,100,1974,ne,ne
Jim McElroy,1976,1982,G,190,86,1953,ne,ne
Pat McFarland,1974,1976,F-G,196,84,1951,ne,ne
Ivan McFarlin,2007,2007,F,203,109,1982,ne,ne
Mel McGaha,1949,1949,G,185,86,1926,ne,ne
Mitch McGary,2015,2016,F-C,208,116,1992,ne,ne
JaVale McGee,2009,2023,C,213,123,1988,ne,da
Mike McGee,1982,1990,G-F,196,86,1959,ne,ne
Bill McGill,1963,1970,C-F,206,102,1939,ne,ne
George McGinnis,1972,1982,F-C,203,107,1950,da,ne
Jon McGlocklin,1966,1976,G-F,196,93,1943,ne,ne
Bryce McGowens,2023,2023,G-F,201,81,2002,ne,da
Tracy McGrady,1998,2012,G-F,203,95,1979,da,ne
Gil McGregor,1972,1972,F,203,109,1949,ne,ne
Cameron McGriff,2022,2022,F,201,104,1997,ne,ne
Elton McGriff,1968,1969,C,206,102,1942,ne,ne
Rodney McGruder,2017,2023,G,193,93,1991,ne,da
Alfred McGuire,1952,1955,G-F,188,82,1928,da,ne
Allie McGuire,1974,1974,G,190,79,1951,ne,ne
Dick McGuire,1950,1960,G,183,82,1926,da,ne
Dominic McGuire,2008,2013,F,206,100,1985,ne,ne
Kevin McHale,1981,1993,F-C,208,95,1957,da,ne
Maurice McHartley,1968,1970,G-F,190,84,1942,ne,ne
Jim McIlvaine,1995,2001,C,216,109,1972,ne,ne
Jeff McInnis,1997,2008,G,193,86,1974,ne,ne
Kenny McIntosh,1972,1975,F,201,102,1949,ne,ne
Bob McIntyre,1968,1970,F,198,98,1944,ne,ne
Jerry McKee,1970,1970,G,190,86,1946,ne,ne
Kevin McKenna,1982,1988,G-F,196,89,1959,ne,ne
Forrest McKenzie,1987,1987,F,201,91,1963,ne,ne
